,Restuarantid,Restaurant,Restaurant_Type,Price,Cuisine,Location,Area,Link,Timing,Dining_Review,Dining_Rating,Delivery_Rating,Delivery_Review
12,13,Jook Taproom,"North Indian, South Indian, Chinese, Pizza, Fast Food, Biryani, Asian, Bar Food",1600,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/info,12noon – 12midnight (Today),2289,4.4,3.6,67
13,14,Long Boat Brewing Co.,"Asian, Chinese, North Indian, Pizza, South Indian, Continental",2600,Asian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore/info,"12midnight – 1:30am, 12noon – 12midnight (Today)",7426,4.3,4.1,2250
14,15,Scottish Pub,"Asian, Chinese, Burger, North Indian, Continental, Bar Food, Cafe, Pasta",1000,Asian," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,12noon – 12midnight (Today),505,4.4,0.0,0
15,16,Oia,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts",2500,Continental," Hennur, Bangalore",Hennur,https://www.zomato.com/bangalore/oia-3-hennur-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",8503,4.2,0.0,0
16,17,Mannheim Craft Brewery,"South Indian, North Indian, Continental, Desserts, Asian",1500,South Indian," Garuda Mall, Magrath Road, Bangalore",Garuda Mall,https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info,12noon – 11pm (Today),346,4.4,0.0,0
17,18,Nusa,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food",1500,North Indian," Varthur Main Road, Whitefield, Bangalore",Varthur Main Road,https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",3773,3.9,0.0,0
18,19,SkyDeck By Sherlock's,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts",1800,Continental," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info,11:30am – 1am (Today),4494,4.2,0.0,0
19,20,Ironhill Bengaluru,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts",2000,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore/info,12noon – 1am (Today),32600,4.5,4.2,151
20,21,Citrus - The Leela Palace,"North Indian, Continental, Asian, Desserts",4700,North Indian," The Leela Palace, Old Airport Road, Bangalore",The Leela Palace,https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info,"9am – 10am, 12:30pm – 11:30pm (Today)",1060,4.0,4.2,142
21,22,Absolute Shawarma,"Shawarma, Fast Food, Burger, Pizza, Wraps, Momos, Waffle, Shake",300,Shawarma," Chanapatna, Bangalore",Chanapatna,https://www.zomato.com/bangalore/absolute-shawarma-chanapatna-bangalore/info,,0,0.0,,0
22,23,Geometry Brewery & Kitchen,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",1800,Chinese," Malleshwaram, Bangalore",Malleshwaram,https://www.zomato.com/bangalore/geometry-brewery-kitchen-malleshwaram-bangalore/info,11:30am – 1am (Today),3561,4.3,4.0,44
23,24,Roxie,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages",2600,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/roxie-sarjapur-road-bangalore/info,12noon – 1am (Today),10900,4.6,4.3,73
24,25,The Terrace at Gilly's Redefined,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts",2000,Continental," Gilly's Redefined, Koramangala 4th Block, Bangalore",Gilly's Redefined,https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block/info,12noon – 12:30am (Today),4632,4.4,4.0,6
25,26,Prime Golf - Brewing & Golfing,"Modern Indian, Beverages",2000,Modern Indian," Seegehalli, Bangalore",Seegehalli,https://www.zomato.com/bangalore/prime-golf-brewing-golfing-seegehalli-bangalore/info,12noon – 12midnight (Today),1168,4.3,0.0,0
26,27,KLING,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",1500,Continental," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/kling-church-street-bangalore/info,12noon – 1am (Today),217,4.2,0.0,0
27,28,Byg Brewski Brewing Company,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts",2000,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/info,12noon – 1am (Today),38100,4.6,4.2,27100
28,29,Toca Brigade,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",1200,Chinese," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/toca-brigade-brigade-road-bangalore/info,11am – 12midnight (Today),56,4.1,0.0,0
29,30,Phurr,"North Indian, Continental",2000,North Indian," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/phurr-jayanagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",2136,4.4,0.0,0
30,31,Boho,"Continental, Asian, American, Mexican, Beverages, Desserts, Korean, Italian",2000,Continental," Building 105, Koramangala 5th Block, Bangalore",Building 105,https://www.zomato.com/bangalore/boho-koramangala-5th-block/info,12noon – 12midnight (Today),3621,4.1,2.7,17
31,32,Bastian,"Continental, Greek",2000,Continental," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/bastian-st-marks-road-bangalore/info,"12midnight – 12:30am, 12noon – 4pm, 7pm – 12midnight (Today)",143,0.0,0.0,0
32,33,Moglu - The Edgy Veggie Restaurant,"Bakery, Modern Indian, Desserts, Beverages, American, Coffee, Sandwich, Pasta",1800,Bakery," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/moglu-the-edgy-veggie-restaurant-st-marks-road-bangalore/info,11:30am – 11:30pm (Today),128,3.9,0.0,0
33,34,Magique,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",1700,Asian," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",4309,4.1,4.0,10
34,35,Ambedo Kitchen|Taproom,"Continental, Asian, North Indian, Italian, Pizza, Sushi",1500,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore/info,12noon – 12midnight (Today),556,4.5,4.0,10
35,36,BLR Brewing Co,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts",1500,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info,12noon – 12midnight (Today),5059,4.4,0.0,0
36,37,Bhangra Bistro,"North Indian, Mughlai, Desserts",1000,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bhangra-bistro-indiranagar-bangalore/info,"12noon – 4pm, 7pm – 12midnight (Today)",148,4.5,0.0,3
37,38,Secret Story,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages, Vietnamese, Italian",1500,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info,12noon – 1am (Today),3964,3.9,0.0,0
38,39,Down Town Diner,"Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Desserts, Beverages",750,Cafe," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/down-town-diner-brigade-road-bangalore/info,12noon – 12midnight (Today),291,4.5,0.0,0
39,40,The Bier Library,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",1800,North Indian," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore/info,12noon – 1am (Today),14500,4.5,4.6,716
40,41,Swwing,"Seafood, Modern Indian",2500,Seafood," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/swwing-indiranagar-bangalore/info,7pm – 11pm (Today),95,4.0,0.0,0
41,42,Uru Brewpark,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages",2200,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore/info,10:30am – 1am (Today),1700,4.3,4.2,4286
42,43,The Bangalore Cafe,"North Indian, Italian, Continental, Biryani, Chinese, Desserts",950,North Indian," Shanti Nagar, Bangalore",Shanti Nagar,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore/info,12noon – 1am (Today),4357,4.2,4.0,2248
43,44,Neo Kitchen - Hilton Embassy Manyata Business Park,"Asian, Continental, Italian, South Indian, North Indian, Biryani, Desserts, Beverages",3100,Asian," Hilton Bengaluru Embassy Manyata Business Park, Bangalore",Hilton Bengaluru Embassy Manyata Business Park,https://www.zomato.com/bangalore/neo-kitchen-hilton-embassy-manyata-business-park-nagawara-bangalore/info,24 Hours (Today),244,4.2,0.0,0
44,45,Fia's Lounge,"Parsi, Lebanese, Beverages",1500,Parsi," Richmond Road, Bangalore",Richmond Road,https://www.zomato.com/bangalore/fias-lounge-richmond-road-bangalore/info,11am – 11pm (Today),137,4.5,0.0,0
45,46,Candles  Brewhouse,"Italian, Continental, American, Pizza, North Indian",2500,Italian," RMZ Azure, Bangalore",RMZ Azure,https://www.zomato.com/bangalore/candles-brewhouse-hebbal-bangalore/info,12noon – 12midnight (Today),4968,4.3,4.0,19
46,47,Smoke House Deli,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages",1800,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/SmokeHouseDeli-Indiranagar/info,10am – 1am (Today),6584,4.5,4.3,3470
47,48,One8 Commune,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages",3000,North Indian," Lavelle Road, Bangalore",Lavelle Road,https://www.zomato.com/bangalore/one8-commune-lavelle-road-bangalore/info,12:30pm – 1am (Today),512,3.9,0.0,0
48,49,21st Amendment Gastrobar,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",1700,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info,12noon – 12midnight (Today),4902,4.3,3.4,42
49,50,Hoot,"Continental, Italian, North Indian, Beverages",2000,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/hoot-sarjapur-road/info,12noon – 12:30am (Today),13500,4.2,3.7,500
50,51,Maffei Kitchen,"Lebanese, Greek, Moroccan, Desserts, Beverages",1700,Lebanese," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/maffei-kitchen-1-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),674,4.7,4.0,435
51,52,Muro,"Thai, Cantonese",3000,Thai," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/muro-church-street-bangalore/info,"12midnight – 1am, 12noon – 11:45pm (Today)",292,4.1,0.0,0
52,53,No Limmits Lounge And Club,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",2500,Chinese," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,11am – 1am (Today),4522,3.8,0.0,0
53,54,Mykos Craft Kitchen & Bar,"Continental, Greek, Asian, Mediterranean, North Indian",1600,Continental," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info,12noon – 12midnight (Today),2273,4.3,0.0,0
54,55,Terrace By House Of Commons,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",2000,Modern Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info,11am – 1am (Today),3966,4.6,0.0,0
55,56,Sky Garden,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",2000,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info,11am – 12midnight (Today),4459,4.1,3.7,71
56,57,Ministry of Food - Hilton Bangalore Embassy GolfLinks,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages",3500,Asian," Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore",Hilton Bangalore Embassy GolfLinks,https://www.zomato.com/bangalore/ministry-of-food-hilton-bangalore-embassy-golflinks-domlur-bangalore/info,7am – 11pm (Today),1261,3.9,4.3,222
57,58,Biergarten,"Continental, European, BBQ, Chinese, Asian, Beverages",2500,Continental," Bellandur, Bangalore",Bellandur,https://www.zomato.com/bangalore/biergarten-bellandur-bangalore/info,12noon – 12midnight (Today),794,4.3,0.0,0
58,59,Kappa Chakka Kandhari,"Kerala, South Indian, Desserts, Beverages",1800,Kerala," Koramangala 6th Block, Bangalore",Koramangala 6th Block,https://www.zomato.com/bangalore/kappa-chakka-kandhari-koramangala-6th-block-bangalore/info,Opens tomorrow at 12noon,715,4.3,0.0,0
59,60,High Ultra Lounge - Sheraton Grand Bangalore Hotel,"North Indian, Continental, Finger Food, Desserts",3600,North Indian," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",Sheraton Grand Bangalore,https://www.zomato.com/bangalore/high-ultra-lounge-sheraton-grand-bangalore-hotel-malleshwaram-bangalore/info,4pm – 1am (Today),6687,4.3,0.0,0
60,61,Three Dots & A Dash,"Bar Food, North Indian, Chinese, Continental, Italian, Fast Food, Desserts, Beverages",1800,Bar Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/three-dots-a-dash-indiranagar-bangalore/info,12noon – 12midnight (Today),6641,4.0,0.0,1
61,62,Aurum Brew Works,"North Indian, Continental, Asian, Beverages, Desserts",1500,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/aurum-brew-works-sarjapur-road-bangalore/info,12noon – 12:30am (Today),6180,4.3,4.0,1721
62,63,Shokudo,"Japanese, Thai, Chinese, Asian, Sushi, Desserts, Beverages, Korean",1500,Japanese," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/shokudo-jayanagar-bangalore/info,12noon – 11pm (Today),372,4.0,3.6,220
63,64,Stories Brewery & Kitchen,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",1600,North Indian," BTM, Bangalore",BTM,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info,12noon – 1am (Today),12100,4.4,4.2,508
64,65,Zen - The Leela Palace,"Thai, Japanese, Chinese, Rolls",3500,Thai," The Leela Palace, Old Airport Road, Bangalore",The Leela Palace,https://www.zomato.com/bangalore/zen-the-leela-palace-airport-road/info,Opens tomorrow at 12noon,350,4.1,0.0,0
65,66,Macaw By Stories,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",1800,South Indian," Bommanahalli, Bangalore",Bommanahalli,https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore/info,12noon – 1am (Today),2907,4.2,3.8,31
66,67,Ganbeii,"Kerala, Continental, Asian, Pizza, Pasta, Burger, North Indian",1000,Kerala," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/ganbeii-koramangala-5th-block-bangalore/info,11am – 12midnight (Today),210,4.4,0.0,1
67,68,Sarjapur SOCIAL,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages",1500,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/SarjapurSocial/info,10am – 1am (Today),4743,4.4,3.9,3600
68,69,Bamey's Gastro Bar,"Nepalese, Chinese, North Indian, Momos, Bar Food, Asian, Desserts, Tibetan",1000,Nepalese," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/bameys-gastro-bar-1-koramangala-5th-block-bangalore/info,12:30pm – 12midnight (Today),341,4.3,0.0,0
69,70,Toit,"Italian, American, European, Continental, Desserts",2500,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/toit-indiranagar/info,8:30am – 1am (Today),16500,4.9,4.4,1073
70,71,By Chance,"Italian, Continental",1500,Italian," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/by-chance-1-brigade-road-bangalore/info,12noon – 1am (Today),77,4.2,0.0,0
71,72,Bramble,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",1800,Continental," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info,12noon – 1am (Today),3660,4.4,0.0,4
72,73,1131 Bar + Kitchen By House Of Commons,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",2200,Finger Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info,10:30am – 1am (Today),11400,4.5,4.1,411
73,74,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,"North Indian, Continental, Fast Food, Asian, Beverages",3500,North Indian," Sheraton Grand Bangalore, Brigade Gateway, Bangalore",Sheraton Grand Bangalore,https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore/info,"6:30am – 10:30am, 12:30pm – 3:30pm, 7pm – 11pm (Today)",2485,4.5,3.7,114
74,75,K-OS TheGameBar,"Continental, Italian, North Indian, Finger Food, Asian, Fast Food",1700,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/k-os-thegamebar-koramangala-7th-block-bangalore/info,12noon – 12midnight (Today),958,4.3,4.0,21
75,76,Indian Biere House,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages",2500,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore/info,12noon – 12midnight (Today),5978,4.5,0.0,1
76,77,Mayuri,"Andhra, Biryani, North Indian, Chinese, Desserts",1200,Andhra," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",2481,4.5,4.1,3317
77,78,Pizza 4P's,Pizza,1000,Pizza," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore/info,12noon – 12midnight (Today),76,4.4,0.0,0
78,79,Chowman,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",1400,Chinese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/info,"11am – 5pm, 5:45pm – 12midnight (Today)",3566,4.5,4.2,9019
79,80,Taproom By Sherlock's,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",1800,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info,12noon – 12midnight (Today),7523,4.3,3.0,106
80,81,Nomad PizzaBar,"Pizza, Italian",1000,Pizza," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/nomad-pizzabar-indiranagar-bangalore/info,11am – 11pm (Today),659,4.5,0.0,1
81,82,Red Rhino,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",2000,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore/info,12noon – 12midnight (Today),10800,4.4,4.1,6899
82,83,Butterfly Brew Bite & Fly,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/butterfly-brew-bite-fly-jp-nagar-bangalore/info,12noon – 1am (Today),3489,4.2,0.0,0
83,84,TYD,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",1900,Asian," Hennur, Bangalore",Hennur,https://www.zomato.com/bangalore/tyd-1-hennur-bangalore/info,12noon – 11:45pm (Today),1364,4.4,3.9,76
84,85,Raahi,"North Indian, Pasta, Pizza, Desserts, Beverages",2000,North Indian," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info,12noon – 11:30pm (Today),1728,4.2,4.4,261
85,86,Backstreet Brewery,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",1800,Italian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/backstreet-brewery-sarjapur-road-bangalore/info,"12midnight – 1am, 12:30pm – 12midnight (Today)",6341,4.4,4.2,528
86,87,Daddy,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",1700,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",8318,4.3,4.2,143
87,88,Hard Rock Cafe,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages",2500,American," St. Marks Road, Bangalore",St. Marks Road,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info,12noon – 1am (Today),8294,4.6,3.7,314
88,89,The Black Pearl,"BBQ, North Indian, Biryani",2100,BBQ," Kadubeesanahalli, Bangalore",Kadubeesanahalli,https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore/info,"11:30am – 4:30pm, 6:30pm – 11:30pm (Today)",18300,4.2,3.7,108
89,90,Pangeo,"Sushi, Continental, Mediterranean, Pizza, Pasta, North Indian, Desserts, Asian",3500,Sushi," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore/info,12noon – 1am (Today),2008,4.5,0.0,0
90,91,Oyster Bar & Kitchen,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",1600,Continental," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info,12noon – 1am (Today),17500,4.5,3.9,612
91,92,Float Brewery,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",1500,Bar Food," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore/info,12noon – 12midnight (Today),6274,4.4,4.2,121
92,93,Big Pitcher,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",1800,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/big-pitcher-sarjapur-road-bangalore/info,11am – 1am (Today),4961,4.5,3.6,1363
93,94,Zodiac Bar & Kitchen,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",1800,Continental," Brookefield, Bangalore",Brookefield,https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info,12noon – 12midnight (Today),3616,4.3,0.0,1
94,95,Brahma Brews,"Asian, North Indian, South Indian",2500,Asian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore/info,12noon – 12midnight (Today),11900,4.5,4.3,1888
95,96,Street 1522,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages",2200,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info,12noon – 1am (Today),5765,4.3,4.3,33
96,97,TBC- Sky Lounge,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages",1500,Continental," HSR, Bangalore",HSR,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info,12noon – 1am (Today),21200,4.5,3.7,384
97,98,Miso Sexy,"Japanese, Chinese, Sushi, Beverages",1800,Japanese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",4349,4.3,4.0,27
98,99,Amintiri,"Desserts, Bakery, Fast Food, Beverages, Pasta, Italian, Cafe, Finger Food",1100,Desserts," Church Street, Bangalore",Church Street,https://www.zomato.com/bangalore/amintiri-church-street-bangalore/info,8:30am – 11:30pm (Today),449,4.4,0.0,0
99,100,Fox In The Field,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",2000,Modern Indian," Nexus Shantiniketan, Whitefield, Bangalore",Nexus Shantiniketan,https://www.zomato.com/bangalore/fox-in-the-field-whitefield-bangalore/info,12noon – 12midnight (Today),6567,4.2,3.9,281
100,101,JW Kitchen - JW Marriott Bengaluru,"North Indian, Continental, Mughlai, Beverages, Desserts, Asian",5000,North Indian," JW Marriott Bengaluru, Lavelle Road, Bangalore",JW Marriott Bengaluru,https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road/info,6:30am – 11pm (Today),2868,4.2,3.7,264
101,102,Orah Brew Garden,"Asian, Continental, Desserts, European, Modern Indian",1300,Asian," Yelahanka, Bangalore",Yelahanka,https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore/info,11:30am – 12midnight (Today),2394,4.3,0.0,1
102,103,The Scene - Craft Kitchen & Bar,"North Indian, Continental, Asian, Desserts, Beverages",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/the-scene-craft-kitchen-bar-jp-nagar-bangalore/info,12noon – 12midnight (Today),1319,4.2,0.0,0
103,104,The Pump House,"Continental, Chinese, North Indian, Italian, Asian, Salad, Pizza, Desserts",1600,Continental," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",6315,4.4,3.7,423
104,105,Gold Rush Brews,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",1900,North Indian," KR Puram, Bangalore",KR Puram,https://www.zomato.com/bangalore/gold-rush-brews-kr-puram-bangalore/info,12noon – 1am (Today),6341,4.4,3.6,302
105,106,The Creek - The Den Bengaluru,"North Indian, South Indian, Asian, Pizza, Desserts",3000,North Indian," The Den, Whitefield, Bangalore",The Den,https://www.zomato.com/bangalore/the-creek-the-den-bengaluru-whitefield/info,12:15am – 11:45pm (Today),1261,4.1,0.0,0
106,107,Jamming Goat 3.0,"North Indian, Asian, Desserts",1500,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info,12noon – 11pm (Today),1139,4.3,4.0,25
107,108,White Garden,"North Indian, Italian, Lebanese, Asian, Continental, Desserts",1600,North Indian," Kalyan Nagar, Bangalore",Kalyan Nagar,https://www.zomato.com/bangalore/white-garden-kalyan-nagar-bangalore/info,"12noon – 4pm, 7pm – 11pm (Today)",796,4.3,0.0,0
108,109,RCB Bar & Cafe,"Continental, Asian, North Indian, Pizza, Fast Food, Desserts, Beverages",2000,Continental," 1 Sobha, Bangalore",1 Sobha,https://www.zomato.com/bangalore/rcb-bar-cafe-st-marks-road-bangalore/info,Opens on Monday at 8:15am,1454,4.4,4.1,224
109,110,Burma Burma - Indiranagar,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts",1800,Burmese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/burma-burma-indiranagar-indiranagar-bangalore/info,Opens tomorrow at 12noon,4118,4.8,4.3,2046
