,Resturent_id,Restaurant,Restaurant_Type,Price_For_Two,Location,Link,Timing,Dining_Review_Count,Dining_Rating,Delivery_Rating,Delivery_Review_count,Price per Person,Rating Category,Total Review Count,Popularity score,price range category
326,326,Maya,"Asian, North Indian, Chinese, Thai, Beverages",1800," Jayanagar, Bangalore",https://www.zomato.com/bangalore/maya-1-jayanagar-bangalore/info,Opens tomorrow at 12noon,"1,024",4.4,4.2,140,900,Good,1164,5122.6,Medium
327,327,Down Town Pub,"Continental, Pizza, Burger, Fast Food, Biryani, Desserts, Bar Food, Beverages",1700," Brigade Road, Bangalore",https://www.zomato.com/bangalore/down-town-pub-brigade-road-bangalore/info,12noon â€“ 12midnight (Today),989,4.6,0.0,0,850,Excellent,989,4550.4,Medium
328,328,PizzaExpress,"Pizza, Italian, Salad, Bakery, Coffee, Beverages, Pasta, Cafe",1400," Kammanahalli, Bangalore",https://www.zomato.com/bangalore/pizzaexpress-kammanahalli-bangalore/info,"12midnight â€“ 2am, 11am â€“ 12midnight (Today)",109,4.4,3.7,126,700,Good,235,1035.0,Medium
329,329,Saffron,"North Indian, Biryani, Mughlai, Desserts",2500," Radisson Blu, Marathahalli, Bangalore",https://www.zomato.com/bangalore/saffron-marathahalli-bangalore/info,Opens tomorrow at 6pm,925,4.7,4.3,70,1250,Excellent,995,4677.5,High
330,330,Escape by Brewklyn,"Continental, Asian, North Indian, Pizza, Burger",2500," Nagawara, Bangalore",https://www.zomato.com/bangalore/escape-by-brewklyn-nagawara-bangalore/info,1pm â€“ 11:30pm (Today),42,0.0,0.0,0,1250,Below Average,42,1.0,High
331,331,Aromas Of Biryani,"Biryani, North Indian, South Indian, Hyderabadi",1000," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/aromas-of-biryani-sarjapur-road-bangalore/info,Opens tomorrow at 11am,787,4.1,4.1,15K,500,Good,15787,64727.7,Low
332,332,Iris Cafe & Kitchen,"Cafe, Coffee, Chinese, Continental, Modern Indian, Pasta, Fast Food, Desserts",1200," JP Nagar, Bangalore",https://www.zomato.com/bangalore/iris-cafe-kitchen-1-jp-nagar-bangalore/info,Opens tomorrow at 9:30am,486,4.1,4.0,24,600,Good,510,2092.0,Medium
333,333,Tiger Tiger Brewhouse,"North Indian, Continental, Oriental, Mughlai, Andhra, European, Beverages, Desserts",1600," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/tiger-tiger-brewhouse-1-sarjapur-road-bangalore/info,12noon â€“ 11:30pm (Today),"1,642",4.1,3.1,105,800,Good,1747,7163.7,Medium
334,334,Harley's Fine Baking,"Bakery, Sandwich, Desserts",600," JP Nagar, Bangalore",https://www.zomato.com/bangalore/harleys-fine-baking-jp-nagar-bangalore/info,8am â€“ 2am (Today),102,4.0,4.4,713,300,Good,815,3261.0,Low
335,335,Nando's,"Burger, Healthy Food, Portuguese, Desserts",1500," Phoenix Marketcity Bangalore, Whitefield, Bangalore",https://www.zomato.com/bangalore/nandos-whitefield-bangalore/info,11:30am â€“ 11:30pm (Today),"7,971",4.4,4.3,"4,703",750,Good,12674,55766.6,Medium
336,336,White Lotus Club,"Continental, North Indian, Chinese, Italian, Asian, Beverages",2000," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/white-lotus-club-sarjapur-road-bangalore/info,12noon â€“ 12midnight (Today),433,3.9,0.0,0,1000,Average,433,1689.7,Medium
337,337,Glass â€“ Kitchen & Bar,"Modern Indian, North Indian, Continental, Biryani, Bar Food, Seafood, Desserts, Beverages",3500," Holiday Inn, Race Course Road, Bangalore., Bangalore",https://www.zomato.com/bangalore/glass-kitchen-bar-race-course-road-bangalore/info,Opens tomorrow at 12:30pm,168,4.4,0.0,3,1750,Good,171,753.4,High
338,338,Barrys Sky Lounge,"Chinese, North Indian, Oriental, Mughlai, Biryani",1000," Kalyan Nagar, Bangalore",https://www.zomato.com/bangalore/barrys-sky-lounge-kalyan-nagar-bangalore/info,11:30am â€“ 1am (Today),866,4.3,4.2,45,500,Good,911,3918.3,Low
339,339,46 Ounces,"North Indian, Asian, Italian, Pizza, Desserts",1200," RMZ Infinity, Old Madras Road, Bangalore",https://www.zomato.com/bangalore/46-ounces-old-madras-road-bangalore/info,Opens tomorrow at 8am,518,4.4,3.6,111,600,Good,629,2768.6,Medium
340,340,Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",1900," Electronic City, Bangalore",https://www.zomato.com/bangalore/barbeque-nation-electronic-city/info,Opens tomorrow at 11am,"7,240",4.3,3.4,"3,025",950,Good,10265,44140.5,Medium
341,341,HSR High Street,"Chinese, Oriental, North Indian, Mughlai, Biryani, Seafood, Desserts",950," HSR, Bangalore",https://www.zomato.com/bangalore/hsr-high-street-hsr/info,11:30am â€“ 1am (Today),"1,558",3.9,4.1,14.1K,475,Average,15658,61067.2,Low
342,342,Don't Tell Mama,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",2000," HSR, Bangalore",https://www.zomato.com/bangalore/dont-tell-mama-1-hsr-bangalore/info,12noon â€“ 1am (Today),"2,143",4.1,0.0,0,1000,Good,2143,8787.3,Medium
343,343,Kobe Sizzlers,"American, Continental, Burger, Pasta, Steak, Beverages, Desserts",1600," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/kobe-sizzlers-koramangala-5th-block/info,Opens tomorrow at 12noon,"3,342",3.9,4.1,47,800,Average,3389,13218.1,Medium
344,344,Glen`s Bakehouse,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",800," Whitefield, Bangalore",https://www.zomato.com/bangalore/glen-s-bakehouse-whitefield-bangalore/info,Opens tomorrow at 11am,"1,976",3.8,4.0,"7,836",400,Average,9812,37286.6,Low
345,345,Platform.65,"Andhra, North Indian, Mughlai, Chinese, Biryani, Ice Cream, Desserts, Beverages",1300," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/platform-65-bannerghatta-road-bangalore/info,Opens tomorrow at 12noon,"1,048",3.6,3.5,527,650,Average,1575,5671.0,Medium
346,346,Iza,"Asian, Chinese, Seafood, Salad, Desserts",1200," Divyasree Technopark, Bangalore",https://www.zomato.com/bangalore/iza-marathahalli-bangalore/info,12noon â€“ 11:45pm (Today),183,4.5,4.1,47,600,Excellent,230,1036.0,Medium
347,347,Chin Lung Resto Bar,"Bar Food, Chinese, North Indian",1400," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/chin-lung-resto-bar-koramangala-4th-block-bangalore/info,12noon â€“ 12midnight (Today),"1,278",4.1,4.3,443,700,Good,1721,7057.1,Medium
348,348,Street Storyss,"North Indian, Chinese, Street Food, Desserts, Beverages",2500," Indiranagar, Bangalore",https://www.zomato.com/bangalore/street-storyss-indiranagar-bangalore/info,Opens tomorrow at 12noon,"2,105",4.6,4.3,758,1250,Excellent,2863,13170.8,High
349,349,Suay,"Cafe, Coffee, Continental, Fast Food, Salad, Chinese, Desserts, Beverages",1400," JP Nagar, Bangalore",https://www.zomato.com/bangalore/suay-jp-nagar-bangalore/info,Opens tomorrow at 11am,27,4.0,0.0,0,700,Good,27,109.0,Medium
350,350,Neon Market,"Cafe, Coffee, Japanese, Tea, Beverages",1000," Indiranagar, Bangalore",https://www.zomato.com/bangalore/neon-market-indiranagar-bangalore/info,8am â€“ 12midnight (Today),55,4.2,0.0,1,500,Good,56,236.2,Low
